ClassName,isAbstract,DataTypes
"AbstractContentHandler,1,""AbstractCalendarParser"""
"AbstractDateRule,1,""?"""
"ComponentRule,1,""?"""
"DateInRangeRule,0,""DateRange"""
"PeriodRule,0,""Period"""
"Rule,1,""Filter"""
"Filter,0,""Rule,Rule"""
"HasPropertyRule,0,""Property"""
"PropertyValidator,0,""PropertyValidator"""
"ParameterValidator,0,""ParameterValidator"""
"ComponentValidator,0,""?"""
